Review #,Brand,Variety,Style,Country,Stars,Top Ten
2201,Mr. Lee's Noodles,Penang Chicken Curry Laksa,Cup,UK,2,
2200,Mr. Lee's Noodles,Shaolin Monk Vegetables,Cup,UK,5,
2199,Mr. Lee's Noodles,Tai Chi Chicken,Cup,UK,3,
2198,Mr. Lee's Noodles,Dragon Fire Mushroom,Cup,UK,3,
2197,Mr. Lee's Noodles,Hong Kong Street Beef,Cup,UK,5,
2196,Mr. Lee's Noodles,Warrior Fighting Shrimp,Cup,UK,3.3,
2025,Urban Noodle,Authentic Street Food Chow Mein,Cup,UK,2,
2024,Urban Noodle,Authentic Street Food Pad Thai,Cup,UK,2.5,
2023,Urban Noodle,Authentic Street Food Black Bean,Cup,UK,0,
2022,Urban Noodle,Authentic Street Food Thai Red Curry,Cup,UK,3,
2021,Urban Noodle,Authentic Street Food Satay,Cup,UK,5,
1963,Kabuto Noodles,Rice Noodles Vegetable Laksa,Cup,UK,3.75,
1962,Kabuto Noodles,Rice Noodles Chicken Pho,Cup,UK,3.5,
1961,Kabuto Noodles,Chicken Ramen,Cup,UK,4.25,
1960,Kabuto Noodles,Chilli Chicken Ramen,Cup,UK,4,
1555,Ko-Lee,Instant Noodles Taste Sensation Mixed Vegetable Flavour,Pack,UK,3.5,
1424,Sainsbury's,Curry Flavour Instant Noodles,Pack,UK,1.5,
1403,Tesco,Everyday Value Chicken & Mushroom Flavour,Cup,UK,0.5,
1389,Tiger Tiger,Traveller's Choice Thai Red Curry Flavour Instant Noodles,Pack,UK,1.75,
1373,Tesco,Everyday Value Beef & Tomato Flavour Noodles,Cup,UK,2,
1367,Sawadee,Instant Noodles Vegetable & Mushroom Flavour,Pack,UK,1.5,
1338,Batchelors,Super Noodles Peppered Steak Flavour,Pack,UK,1.5,
1315,Sainsbury's,Chicken Flavour Instant Noodles,Pack,UK,2.75,
1286,Batchelors,Super Noodles Roast Beef & Onion Flavour,Pack,UK,3.25,
1279,Ko-Lee,Instant Noodles Mixed Vegetable,Pack,UK,3.5,
1273,Sainsbury's,Basics Instant Noodles Chicken Curry Flavour,Pack,UK,3.25,
1270,Ko-Lee,Instant Noodles Taste Sensations Creamy Shrimp Tom Yum Flavour,Pack,UK,5,
1252,Tesco,Instant Noodles Chow Mein Flavour,Pack,UK,2.25,
1234,Sainsbury's,Barbecue Beef Flavour Instant Noodles,Pack,UK,2.75,
1216,Batchelors,Super Low Fat Noodles Chilli Chicken Flavour,Pack,UK,1,
1209,Batchelors,Super Noodles Chicken Mushroom Flavour,Pack,UK,3.25,
1185,Sainsbury's,Basics Instant Noodles Chicken Flavour,Pack,UK,3.25,
1182,Ko-Lee,Go Noodles Xtreme Hot & Spicy Flavour,Pack,UK,3.75,
1171,Tiger Tiger,Traveller's Choice Indian Tikka Masala Flavour,Pack,UK,3,
1167,Kabuto Noodles,Miso Ramen,Cup,UK,3.75,
1157,Golden Wonder,The Nation's Noodle Beef & Tomato Flavour,Cup,UK,4.25,
1132,Tesco,Everyday Value Spicy Curry Flavour Noodles,Cup,UK,1.5,
1119,Ko-Lee,Taste Sensation Instant Noodles Curry Flavour,Pack,UK,3.75,
1102,Batchelors,Super Noodles Mild Mexican Chilli,Pack,UK,3,
1086,Sawadee,Indian Curry Flavour,Pack,UK,3,
1041,Ko-Lee,Instant Noodles Super Chow Mein,Pack,UK,4,
999,Pot Noodle,Tony's Doner Kebab,Cup,UK,1.5,
995,Ko-Lee,Instant Noodles Beef,Pack,UK,3,
985,Ko-Lee,Go Noodles Thai Hot & Spicy Tom Yum,Cup,UK,1,
974,Pot Noodle,Chilli Beef Flavour,Cup,UK,2.25,
963,Pot Noodle,Mr. Chu??s Golden Noodle No. 7 Sticky Rib,Cup,UK,3.25,
952,Pot Noodle,Sweet & Spicy,Cup,UK,3.5,
949,Ko-Lee,Instant Noodles Chicken ,Pack,UK,3.5,
945,Pot Noodle,Jamaican Jerk!,Cup,UK,2.75,
941,Ko-Lee,Go Noodles Chicken Special,Pack,UK,3.75,
939,Pot Noodle,Sweet & Sour,Cup,UK,3.75,
672,Mug Shot,Chicken,Pack,UK,3,
671,Mug Shot,Spicy Sweet & Sour,Pack,UK,3,
649,Pot Noodle,Chicken & Mushroom,Cup,UK,3.75,
625,Pot Noodle,Bombay Bad Boy,Cup,UK,4,
611,Batchelors,Super Noodles Low Fat Sweet Thai Chilli,Pack,UK,2,
607,Pot Noodle,Beef Tomato,Cup,UK,1.5,
604,Batchelors,Super Noodles Low Fat Chicken Herb,Pack,UK,2,
597,Batchelors,Super Noodles Sweet & sour,Pack,UK,3.5,
592,Batchelors,Super Noodles Mild Curry,Pack,UK,3.25,
591,Batchelors,Super Noodles To Go Chinese Space Rib,Bowl,UK,2.5,
577,Pot Noodle,Chinese Chow Mein,Cup,UK,3,
575,Batchelors,Super Noodles Barbecue Beef,Pack,UK,3.5,
565,Batchelors,Super Noodles To Go Curry,Bowl,UK,4,
562,Batchelors,Super Noodles Bacon,Pack,UK,4.25,
557,Batchelors,Super Noodles Souther Fried Chicken,Pack,UK,3.75,
555,Batchelors,Super Noodles Chinese Chow Mein,Pack,UK,2.75,
551,Batchelors,Super Noodles Chicken,Pack,UK,3.25,
548,Pot Noodle,Original Curry,Cup,UK,3.75,
